date,symbol,rank,score,price,ret5,ret10,ret15,vol5
2026-08-19,NAM-INDIA,101,6.4663,1202.7,2.44,3.24,4.23,1.5325
2026-08-19,COCHINSHIP,102,6.3432,1485.1,-0.73,3.85,7.41,1.6613
2026-08-19,THELEELA,103,6.2637,519.15,1.35,3.81,9.16,2.2851
2026-08-19,ANANTRAJ,104,6.1658,627.55,3.86,0.22,1.73,0.9416
2026-08-19,TIMKEN,105,6.121,3290.5,0.2,2.31,5.23,1.2655
2026-08-19,SHRIRAMFIN,106,6.037,1108.4,-1.9,1.94,6.48,1.0804
2026-08-19,UNOMINDA,107,6.0263,1269.9,-1.41,4.95,9.25,2.1229
2026-08-19,ZEEL,108,5.8649,105.32,15.03,5.8,-2.09,3.194
2026-08-19,PTCIL,109,5.6351,19791.0,4.68,9.35,10.73,4.3929
2026-08-19,INDIANB,110,5.6148,875.0,-0.07,3.55,4.88,1.4901
2026-08-19,FLUOROCHEM,111,5.5993,4674.8,5.86,1.34,4.17,2.0312
2026-08-19,JINDALSAW,112,5.5828,270.4,-3.1,4.28,7.79,1.6075
2026-08-19,HYUNDAI,113,5.578,2186.0,-0.64,-1.53,9.2,1.26
2026-08-19,DALBHARAT,114,5.5712,1837.1,0.08,0.55,1.43,0.3706
2026-08-19,CEATLTD,115,5.5002,3608.5,-4.88,1.86,7.09,0.7401
2026-08-19,BERGEPAINT,116,5.4172,549.35,1.34,4.33,9.0,2.7072
2026-08-19,BALKRISIND,117,5.4137,2407.2,-4.65,-3.41,18.86,1.9952
2026-08-19,SUMICHEM,118,5.2014,559.8,-0.26,8.52,3.89,2.3358
2026-08-19,HINDALCO,119,5.1766,1041.6,-0.71,2.12,11.23,2.4412
2026-08-19,HDBFS,120,5.1729,698.15,0.73,2.89,2.29,1.1425
2026-08-19,SOLARINDS,121,5.0754,20000.0,6.27,7.19,7.37,4.1025
2026-08-19,360ONE,122,5.0627,1173.0,-0.22,2.2,3.56,1.0927
