Symbol,Industry,IsBanking
SCHNEIDER,Electrical Equipment & Parts,False
TENNIND,Auto Parts,False
RPOWER,Utilities - Independent Power Producers,False
GICRE,Insurance - Reinsurance,True
AMBUJACEM,Building Materials,False
KPITTECH,Software - Infrastructure,False
URBANCO,Software - Application,False
GRAVITA,Metal Fabrication,False
ACE,Farm & Heavy Construction Machinery,False
MPHASIS,Information Technology Services,False
MRF,Auto Parts,False
THELEELA,Lodging,False
NESTLEIND,Packaged Foods,False
MAHABANK,Banks - Regional,True
PRESTIGE,Real Estate - Diversified,False
CONCOR,Railroads,False
SRF,Conglomerates,False
HDFCLIFE,Insurance - Life,True
JPPOWER,Utilities - Independent Power Producers,False
KALYANKJIL,Luxury Goods,False
IRFC,Credit Services,True
ZFCVINDIA,Auto Parts,False
BANKBARODA,Banks - Regional,True
HINDZINC,Other Industrial Metals & Mining,False
ABB,Specialty Industrial Machinery,False
GMRAIRPORT,Airports & Air Services,False
TATAELXSI,Software - Application,False
JSWENERGY,Utilities - Independent Power Producers,False
MRPL,Oil & Gas Refining & Marketing,False
NAVINFLUOR,Chemicals,False
CEMPRO,Engineering & Construction,False
UNITDSPR,Beverages - Wineries & Distilleries,False
APOLLOTYRE,Auto Parts,False
ARE&M,Electrical Equipment & Parts,False
COROMANDEL,Agricultural Inputs,False
HDBFS,Credit Services,True
PREMIERENE,Solar,False
BAJAJFINSV,Financial Conglomerates,False
PIDILITIND,Specialty Chemicals,False
HINDUNILVR,Household & Personal Products,False
BANDHANBNK,Banks - Regional,True
ANANTRAJ,Real Estate - Development,False
NMDC,Steel,False
FEDERALBNK,Banks - Regional,True
SPLPETRO,Specialty Chemicals,False
CHOLAFIN,Credit Services,True
OIL,Oil & Gas Integrated,False
TITAGARH,Railroads,False
BLS,Specialty Business Services,False
EMMVEE,Solar,False
CARTRADE,Auto & Truck Dealerships,False
CASTROLIND,Oil & Gas Refining & Marketing,False
PAGEIND,Apparel Manufacturing,False
CHOICEIN,Capital Markets,False
JUBLFOOD,Restaurants,False
CEATLTD,Auto Parts,False
KFINTECH,Software - Application,False
GMDCLTD,Thermal Coal,False
ABSLAMC,Asset Management,True
HAVELLS,Electrical Equipment & Parts,False
MANAPPURAM,Credit Services,True
DEEPAKFERT,Chemicals,False
WELSPUNLIV,Textile Manufacturing,False
UPL,Agricultural Inputs,False
AWL,Packaged Foods,False
BANKINDIA,Banks - Regional,True
THERMAX,Conglomerates,False
ICICIGI,Insurance - Diversified,True
ACUTAAS,Specialty Chemicals,False
CAMS,Information Technology Services,False
TATACONSUM,Packaged Foods,False
GESHIP,Marine Shipping,False
BATAINDIA,Footwear & Accessories,False
ELECON,Specialty Industrial Machinery,False
PAYTM,Software - Infrastructure,False
HDFCAMC,Asset Management,True
DALBHARAT,Building Materials,False
INDUSTOWER,Telecom Services,False
IREDA,Credit Services,True
BSOFT,Information Technology Services,False
WELCORP,Steel,False
DMART,Discount Stores,False
SBILIFE,Insurance - Life,True
FINCABLES,Electrical Equipment & Parts,False
JYOTICNC,Specialty Industrial Machinery,False
SIEMENS,Specialty Industrial Machinery,False
BERGEPAINT,Specialty Chemicals,False
PTCIL,Metal Fabrication,False
LODHA,Real Estate - Development,False
ZENSARTECH,Information Technology Services,False
NEWGEN,Software - Infrastructure,False
AUBANK,Banks - Regional,True
POONAWALLA,Credit Services,True
LTF,Credit Services,True
PIRAMALFIN,Credit Services,True
TATATECH,Information Technology Services,False
JWL,Railroads,False
JMFINANCIL,Capital Markets,False
AIAENG,Specialty Industrial Machinery,False
UNOMINDA,Auto Parts,False
IEX,Capital Markets,False
GODREJPROP,Real Estate - Development,False
BRITANNIA,Packaged Foods,False
SONATSOFTW,Information Technology Services,False
GRASIM,Building Materials,False
SBICARD,Credit Services,True
AIIL,Capital Markets,False
PATANJALI,Packaged Foods,False
NUVAMA,Asset Management,True
TBOTEK,Travel Services,False
PARADEEP,Agricultural Inputs,False
MINDACORP,Auto Parts,False
JAINREC,Other Industrial Metals & Mining,False
ACMESOLAR,Utilities - Renewable,False
BEML,Conglomerates,False
KPIL,Engineering & Construction,False
J&KBANK,Banks - Regional,True
FIVESTAR,Credit Services,True
SUPREMEIND,Building Products & Equipment,False
IRCON,Engineering & Construction,False
MOTILALOFS,Capital Markets,False
NAUKRI,Internet Content & Information,False
GODFRYPHLP,Tobacco,False
INDIANB,Banks - Regional,True
MGL,Utilities - Regulated Gas,False
CYIENT,Conglomerates,False
ELGIEQUIP,Specialty Industrial Machinery,False
SAREGAMA,Entertainment,False
JSWSTEEL,Steel,False
GRAPHITE,Electrical Equipment & Parts,False
ESCORTS,Farm & Heavy Construction Machinery,False
TIINDIA,Conglomerates,False
CARBORUNIV,Conglomerates,False
MFSL,Insurance - Life,True
KEC,Engineering & Construction,False
HEG,Electrical Equipment & Parts,False
BRIGADE,Real Estate - Development,False
HYUNDAI,Auto Manufacturers,False
AARTIIND,Specialty Chemicals,False
VMM,Department Stores,False
GODREJCP,Household & Personal Products,False
NAM-INDIA,Asset Management,True
IRCTC,Travel Services,False
JINDALSTEL,Steel,False
FSL,Information Technology Services,False
CGCL,Credit Services,True
KARURVYSYA,Banks - Regional,True
GPIL,Steel,False
LINDEINDIA,Specialty Chemicals,False
IGL,Utilities - Regulated Gas,False
PHOENIXLTD,Real Estate - Diversified,False
RAILTEL,Telecom Services,False
EXIDEIND,Auto Parts,False
SWANCORP,Conglomerates,False
CENTRALBK,Banks - Regional,True
IRB,Infrastructure Operations,False
HONASA,Household & Personal Products,False
TRITURBINE,Specialty Industrial Machinery,False
MSUMI,Auto Parts,False
GAIL,Utilities - Regulated Gas,False
IIFL,Credit Services,True
TRIDENT,Textile Manufacturing,False
AADHARHFC,Mortgage Finance,True
NTPCGREEN,Utilities - Renewable,False
COLPAL,Household & Personal Products,False
ENDURANCE,Auto Parts,False
APLAPOLLO,Steel,False
LICHSGFIN,Mortgage Finance,True
KPRMILL,Textile Manufacturing,False
PETRONET,Oil & Gas Refining & Marketing,False
RKFORGE,Metal Fabrication,False
JINDALSAW,Steel,False
ITI,Communication Equipment,False
DABUR,Household & Personal Products,False
CHAMBLFERT,Agricultural Inputs,False
STARHEALTH,Insurance - Life,True
M&MFIN,Credit Services,True
PIIND,Agricultural Inputs,False
BALRAMCHIN,Confectioners,False
CHALET,Lodging,False
CROMPTON,"Furnishings, Fixtures & Appliances",False
EIDPARRY,Agricultural Inputs,False
ASTRAL,Building Products & Equipment,False
360ONE,Asset Management,True
FLUOROCHEM,Specialty Chemicals,False
PNBHOUSING,Mortgage Finance,True
PCBL,Specialty Chemicals,False
JSL,Steel,False
TECHNOE,Engineering & Construction,False
LTTS,Information Technology Services,False
TATACHEM,Chemicals,False
ABDL,Beverages - Wineries & Distilleries,False
NAVA,Conglomerates,False
TATAINVEST,Asset Management,True
USHAMART,Steel,False
RITES,Engineering & Construction,False
OBEROIRLTY,Real Estate - Development,False
SHYAMMETL,Steel,False
VTL,Textile Manufacturing,False
AFFLE,Advertising Agencies,False
CUB,Banks - Regional,True
SOBHA,Real Estate - Development,False
TORNTPOWER,Utilities - Independent Power Producers,False
AEGISVOPAK,Oil & Gas Equipment & Services,False
TIMKEN,Tools & Accessories,False
INTELLECT,Software - Application,False
DEEPAKNTR,Chemicals,False
HONAUT,Electrical Equipment & Parts,False
PVRINOX,Entertainment,False
LTFOODS,Packaged Foods,False
EMAMILTD,Household & Personal Products,False
IKS,Health Information Services,False
JSWCEMENT,Building Materials,False
DOMS,Business Equipment & Supplies,False
ANURAS,Specialty Chemicals,False
LATENTVIEW,Consulting Services,False
CREDITACC,Credit Services,True
HEXT,Information Technology Services,False
EIHOTEL,Lodging,False
ABFRL,Apparel Manufacturing,False
FIRSTCRY,Internet Retail,False
UCOBANK,Banks - Regional,True
CRISIL,Financial Data & Stock Exchanges,False
ZYDUSWELL,Packaged Foods,False
ECLERX,Information Technology Services,False
CIEINDIA,Auto Parts,False
KAJARIACER,Building Products & Equipment,False
SIGNATURE,Real Estate - Development,False
NSLNISP,Steel,False
SJVN,Utilities - Renewable,False
BALKRISIND,Auto Parts,False
BAYERCROP,Agricultural Inputs,False
DEVYANI,Restaurants,False
JKCEMENT,Building Materials,False
GODREJIND,Conglomerates,False
TTML,Telecom Services,False
MAPMYINDIA,Software - Infrastructure,False
UTIAMC,Asset Management,True
SHREECEM,Building Materials,False
ABREL,Real Estate Services,False
SBFC,Credit Services,True
WHIRLPOOL,"Furnishings, Fixtures & Appliances",False
NIVABUPA,Insurance - Life,True
CCL,Packaged Foods,False
SARDAEN,Steel,False
AFCONS,Engineering & Construction,False
IOB,Banks - Regional,True
GODIGIT,Insurance - Property & Casualty,True
SUNDARMFIN,Credit Services,True
INDGN,Health Information Services,False
TEGA,Specialty Industrial Machinery,False
ABLBL,Apparel Retail,False
HOMEFIRST,Mortgage Finance,True
GALLANTT,Steel,False
ACC,Building Materials,False
3MINDIA,Conglomerates,False
BLUEDART,Integrated Freight & Logistics,False
IGIL,Other Precious Metals & Mining,False
SUNTV,Broadcasting,False
NUVOCO,Building Materials,False
BBTC,Packaged Foods,False
SAPPHIRE,Restaurants,False
GILLETTE,Household & Personal Products,False
ASAHIINDIA,Auto Parts,False
APTUS,Mortgage Finance,True
JUBLINGREA,Specialty Chemicals,False
CHOLAHLDNG,Credit Services,True
SUMICHEM,Agricultural Inputs,False
RAMCOCEM,Building Materials,False
CANFINHOME,Mortgage Finance,True
UBL,Beverages - Brewers,False
JSWDULUX,Unknown,False
RHIM,Metal Fabrication,False
ATUL,Specialty Chemicals,False
TRAVELFOOD,Restaurants,False
INDIACEM,Building Materials,False
BIKAJI,Packaged Foods,False
CANHLIFE,Insurance - Life,True
DCMSHRIRAM,Conglomerates,False
